Date_x,Cases/100k_VENUSTIANO CARRANZA,PM10,Date_x,Cases/100k_VENUSTIANO CARRANZA_GF,cases2,PM10_fg,PM10_sd,pm_1,pm_2,pm_3,pm_4,cases_wo,PM10_wo,cases_wo_original,PM10_wo_original
03 23 2015,7.021436445,42.66666667,03 23 2015,5.368379663,1.49149353,40.57615,8.471907609,5.15613167,41.92507174,5.024239001,42.17081726,5.024239001,42.17081726,7.021436445,42.66666667
03 24 2015,3.276670341,32.70833333,03 24 2015,4.463386719,-0.710639583,30.05150652,9.886040211,5.023336245,42.11620567,4.914818273,42.90710525,4.914818273,42.90710525,3.276670341,32.70833333
03 25 2015,3.978813986,33,03 25 2015,5.049887306,-1.208108354,27.99877065,4.835620658,4.893249089,42.47117438,4.804936136,44.33230336,4.804936136,44.33230336,3.978813986,33
03 26 2015,4.68095763,29.79166667,03 26 2015,4.925748309,3.624956993,35.832075,-5.653325003,4.827869485,44.13393571,4.874618878,45.98057976,4.874618878,45.98057976,4.68095763,29.79166667
03 27 2015,5.617149156,43.65217391,03 27 2015,3.593500959,-1.373112111,48.501,-7.532799994,4.693689835,46.3918,5.064909836,47.35802976,5.064909836,47.35802976,5.617149156,43.65217391
03 28 2015,4.212861867,28.625,03 28 2015,5.886210601,-3.286593972,55.5166,-12.56811251,5.102297314,47.41600357,5.209765414,48.62216369,5.209765414,48.62216369,4.212861867,28.625
03 29 2015,5.149053393,26.91666667,03 29 2015,6.805808132,1.480961375,54.9994,3.707512508,5.39874236,48.26628571,5.287867192,50.79311547,5.287867192,50.79311547,5.149053393,26.91666667
03 30 2015,5.149053393,35.20833333,03 30 2015,4.438811692,1.925488517,41.9140875,16.47961249,5.128256567,50.18420178,5.324020902,54.28409821,5.324020902,54.28409821,5.149053393,35.20833333
03 31 2015,3.04262246,49.25,03 31 2015,3.552776627,-1.645192774,32.5362875,4.897212505,5.336602648,53.92885893,5.480936633,57.7398375,5.480936633,57.7398375,3.04262246,49.25
04 01 2015,6.085244919,56.20833333,04 01 2015,4.592230079,3.073001874,39.6381,-7.965724995,5.507203492,58.73923393,5.616219652,60.29646964,5.616219652,60.29646964,6.085244919,56.20833333
04 02 2015,7.255484327,56.66666667,04 02 2015,3.986490756,-0.959689933,51.637125,1.764849991,5.599003758,60.55141964,5.630172249,61.32103988,5.630172249,61.32103988,7.255484327,56.66666667
04 03 2015,4.212861867,41.45833333,04 03 2015,6.453753309,-4.556490967,55.670425,1.158087505,5.742451705,61.59875536,5.466158181,61.8161881,5.466158181,61.8161881,4.212861867,41.45833333
04 04 2015,3.276670341,30.41666667,04 04 2015,7.961325928,4.033745024,61.468575,-7.254362495,5.549061284,61.81294464,5.236517087,61.51815432,5.236517087,61.51815432,3.276670341,30.41666667
04 05 2015,4.915005512,39.08333333,04 05 2015,4.91240758,-2.135078394,68.4248125,-1.619650005,5.106961554,62.03686429,5.084773814,61.21703401,5.084773814,61.21703401,4.915005512,39.08333333
04 06 2015,3.510718223,52.83333333,04 06 2015,5.897234256,1.638101123,68.1266875,-11.9677375,5.053528422,60.70465404,5.107168853,60.4292281,5.107168853,60.4292281,3.510718223,52.83333333
04 07 2015,6.553340682,55.29166667,04 07 2015,4.746982538,-0.732054964,66.2089125,20.5305875,5.093831467,60.9095837,5.086766565,59.79479382,5.086766565,59.79479382,6.553340682,55.29166667
04 08 2015,8.659771616,61.20833333,04 08 2015,5.234831942,0.353599539,52.3234,-8.443799999,5.17414667,59.67344655,5.088023737,58.72311993,5.088023737,58.72311993,8.659771616,61.20833333
04 09 2015,4.212861867,69.45833333,04 09 2015,4.990626382,-0.342786527,58.968475,7.664987502,4.992321558,58.80135121,5.142105515,58.48157033,5.142105515,58.48157033,4.212861867,69.45833333
04 10 2015,6.319292801,67.91666667,04 10 2015,5.100020362,-0.094859607,57.16975,-9.802934242,5.097602982,57.69456204,5.299011215,58.52548763,5.299011215,58.52548763,6.319292801,67.91666667
04 11 2015,4.446909749,68.29166667,04 11 2015,4.866627815,1.969232066,63.0360125,14.39852608,5.336392005,58.94879775,5.412785233,58.94473783,5.412785233,58.94473783,4.446909749,68.29166667
04 12 2015,5.383101275,49,04 12 2015,4.538375661,-2.51114653,59.09934076,-22.46709695,5.463038657,58.93310311,5.470207209,58.15673553,5.470207209,58.15673553,5.383101275,49
04 13 2015,4.915005512,60.75,04 13 2015,6.179355572,-0.476966178,69.56119511,0.668022709,5.438925038,58.95231264,5.431870166,56.93004096,5.431870166,56.93004096,4.915005512,60.75
04 14 2015,5.149053393,55.625,04 14 2015,5.309188954,3.11267299,57.5559525,16.33943805,5.508657933,56.58479084,5.472581124,55.94019762,5.472581124,55.94019762,5.149053393,55.625
04 15 2015,4.915005512,64.91666667,04 15 2015,3.962056158,-0.721593024,46.21873261,9.726231084,5.348027528,55.25301941,5.430261923,55.74135889,5.430261923,55.74135889,4.915005512,64.91666667
04 16 2015,4.212861867,56.41666667,04 16 2015,5.727596352,-2.062336312,51.22095076,-17.75169923,5.56105791,55.98278261,5.281066429,55.61633417,5.281066429,55.61633417,4.212861867,56.41666667
04 17 2015,6.553340682,73,04 17 2015,6.771543522,-0.36518491,65.9494,-0.669092502,5.381700331,55.98827464,4.942990951,54.5847721,4.942990951,54.5847721,6.553340682,73
04 18 2015,5.383101275,57.26086957,04 18 2015,5.75315438,3.681479557,62.92615,-2.5529225,4.900441046,54.87794526,4.616270139,52.69076839,4.616270139,52.69076839,5.383101275,57.26086957
04 19 2015,3.510718223,44.20833333,04 19 2015,4.369580329,-4.780615218,59.2338075,1.490275002,4.546831476,52.8880964,4.321978333,50.74242937,4.321978333,50.74242937,3.510718223,44.20833333
04 20 2015,5.851197038,49.8,04 20 2015,6.667485834,3.75120242,52.9885425,7.848512494,4.401537895,50.30626351,4.166821305,49.53600268,4.166821305,49.53600268,5.851197038,49.8
04 21 2015,7.021436445,68.58333333,04 21 2015,4.184776122,-2.249668237,48.2335525,-3.161202494,4.017565628,49.03292821,4.027365547,49.15915243,4.027365547,49.15915243,7.021436445,68.58333333
04 22 2015,5.851197038,62.6,04 22 2015,5.45326883,-0.088189242,51.327075,6.985379315,4.081360393,49.26881633,3.989670464,49.29828383,3.989670464,49.29828383,5.851197038,62.6
04 23 2015,3.744766104,59.625,04 23 2015,4.472093301,0.944523631,51.259395,-16.09758568,3.98317062,49.17571276,3.981174526,48.90350993,3.981174526,48.90350993,3.744766104,59.625
04 24 2015,7.489532208,52.875,04 24 2015,3.40272853,0.19947901,58.17709432,1.343655674,3.904480378,49.4503224,4.14336302,48.59579221,4.14336302,48.59579221,7.489532208,52.875
04 25 2015,3.510718223,47.06666667,04 25 2015,3.27788739,0.552516834,48.99720796,10.75044887,4.055872579,48.08449464,4.323068327,47.9762673,4.323068327,47.9762673,3.510718223,47.06666667
04 26 2015,5.851197038,52.08333333,04 26 2015,3.352525259,0.024504813,41.16097727,2.895355683,4.469736104,48.25255958,4.613899568,47.24894724,4.613899568,47.24894724,5.851197038,52.08333333
04 27 2015,4.446909749,49.875,04 27 2015,3.979679963,-0.517058579,44.07519545,-5.018993185,4.443596299,47.59174769,4.67301672,46.15827544,4.67301672,46.15827544,4.446909749,49.875
04 28 2015,3.276670341,60.58333333,04 28 2015,4.631339479,-0.979279742,49.88476932,1.715731816,4.928366302,45.90253444,4.708230895,45.13424285,4.708230895,45.13424285,3.276670341,60.58333333
04 29 2015,3.276670341,48.66666667,04 29 2015,4.765940416,1.385891126,50.67535,-7.071674996,4.647087558,44.98054418,4.710899041,44.12775784,4.710899041,44.12775784,3.276670341,48.66666667
04 30 2015,3.276670341,39.77272727,04 30 2015,3.921261611,1.171245813,53.1816625,6.122724994,4.549238826,44.51964992,4.8284312,42.77618447,4.8284312,42.77618447,3.276670341,39.77272727
05 01 2015,3.978813986,43.75,05 01 2015,4.462473933,-4.717843576,48.6163,-15.19573097,4.93637074,42.88307942,4.88403429,41.19394161,4.88403429,41.19394161,3.978813986,43.75
05 02 2015,4.68095763,50.66666667,05 02 2015,6.174932067,7.208908799,50.1736625,9.353777179,4.999684035,40.92582407,4.830447356,40.37572876,4.830447356,40.37572876,4.68095763,50.66666667
05 03 2015,4.915005512,50.16666667,05 03 2015,3.169546626,-8.914205068,36.53529402,15.46472608,4.716048095,39.77292135,4.57075117,40.97830367,4.57075117,40.97830367,4.915005512,50.16666667
05 04 2015,3.744766104,54.375,05 04 2015,7.373069983,6.129292731,32.25070272,-7.161882065,4.775609937,40.42844086,4.45861883,41.9060877,4.45861883,41.9060877,3.744766104,54.375
05 05 2015,4.212861867,47.29166667,05 05 2015,2.662388272,1.131574697,43.4308375,-9.741673908,4.220595478,42.73354881,4.452563677,42.16250965,4.452563677,42.16250965,4.212861867,47.29166667
05 06 2015,7.021436445,52.58333333,05 06 2015,4.080999291,-4.275703724,47.44909021,-1.086735328,4.379651075,42.55627342,4.478038117,41.72105123,4.478038117,41.72105123,7.021436445,52.58333333
05 07 2015,1.872383052,35.20833333,05 07 2015,6.631185008,1.009331489,41.72566902,13.9979875,4.757444478,41.19770673,4.388936088,42.4258996,4.388936088,42.4258996,1.872383052,35.20833333
05 08 2015,8.893819498,30.16666667,05 08 2015,4.905667001,0.113185556,34.9155125,-8.167243836,4.297018798,41.40917355,4.212467329,44.30402857,4.212467329,44.30402857,8.893819498,30.16666667
05 09 2015,1.638335171,44.52173913,05 09 2015,4.189480484,0.504490208,42.10334348,8.241940578,4.112344989,44.67081852,4.264339027,46.46477607,4.264339027,46.46477607,1.638335171,44.52173913
05 10 2015,3.978813986,48.58333333,05 10 2015,3.586479522,0.386319433,41.12393062,-13.45907627,4.228038201,46.83209364,4.387230883,47.17423562,4.387230883,47.17423562,3.978813986,48.58333333
05 11 2015,7.255484327,42,05 11 2015,3.487968769,2.661966986,48.38645833,1.945762168,4.452633891,47.89141605,4.455011149,47.3835893,4.455011149,47.3835893,7.255484327,42
05 12 2015,4.68095763,32.75,05 12 2015,3.775777448,-6.267123528,42.18990978,9.517599723,4.481020556,46.79919716,4.340648667,47.4272725,4.340648667,47.4272725,4.68095763,32.75
05 13 2015,4.212861867,43.70833333,05 13 2015,6.725553114,3.52209295,37.9391234,9.274277184,4.431379,47.4601547,4.323650104,47.71536322,4.323650104,47.71536322,4.212861867,43.70833333
05 14 2015,3.510718223,39.5,05 14 2015,3.408205251,1.181637539,43.20593674,-15.05584848,4.109546445,48.02246564,4.401571331,46.83762632,4.401571331,46.83762632,3.510718223,39.5
05 15 2015,3.510718223,50.47826087,05 15 2015,3.612950338,-1.227066233,57.74702727,-8.178323874,4.430024866,47.66346932,4.535396566,45.63239556,4.535396566,45.63239556,3.510718223,50.47826087
05 16 2015,3.276670341,41.77777778,05 16 2015,4.999332963,-1.63129033,57.23226932,0.894820459,4.665142681,44.82694399,4.492759729,44.35101239,4.492759729,44.35101239,3.276670341,41.77777778
05 17 2015,7.72358009,36.875,05 17 2015,5.158649357,1.213585075,48.5391875,13.87394773,4.511022151,44.40677337,4.359365811,44.40553522,4.359365811,44.40553522,7.72358009,36.875
