date,O3_AO,PM10_AO,O3_AZ,PM10_AZ,O3_BJ,PM10_BJ,O3_CY,PM10_CY,O3_CJ,PM10_CJ,O3_CH,PM10_CH,O3_IC,PM10_IC,O3_IZ,PM10_IZ,O3_MH,PM10_MH,O3_MA,PM10_MA,O3_TL,PM10_TL,O3_VC,PM10_VC,O3_XO,PM10_XO
23/03/2014,43.625,41.41666667,37.58333333,45.66666667,,,40.125,0,41.375,35.625,39.125,48.5,39.125,40.33333333,38.25,48.25,,,,,42.27083333,29.41666667,37.14583333,58.58333333,38,48.5
24/03/2014,37.33333333,53.82608696,33.57142857,51.625,,,32.95833333,0,39.125,47.25,36.45833333,48.16666667,32.33333333,49.91666667,31.66666667,57,,,,,41.08333333,42,32.25,59.875,35.63636364,79
25/03/2014,37.08695652,60.16666667,26.91666667,66.125,,,31.29166667,0,37.3125,48.08333333,28.82608696,56.75,29.04166667,51.875,26.95,59.91666667,,,,,32.97826087,61.45454545,28.54166667,76.375,36.83333333,66.45833333
26/03/2014,33.26315789,42.73913043,24.16666667,48.08333333,,,26.04166667,0,26.1875,40.60416667,27.42105263,42.39130435,23.16666667,38.375,23.65217391,40.30434783,,,,,26.52083333,37.75,21.5,55.59090909,29.69565217,26.47619048
27/03/2014,28.66666667,41.30434783,27.04166667,38.125,,,27.04347826,0,33.41666667,36.16666667,25.625,39.58333333,25.33333333,39.375,30.875,41.95833333,,,,,30.39583333,50.91666667,23.66666667,54.58333333,34.54166667,34.125
28/03/2014,36.25,44.08333333,29.29166667,52.83333333,,,31.45833333,5e-324,33.41666667,36.1875,29.16666667,41.41666667,29.20833333,44.54166667,30.58333333,52.875,,,,,35.3125,43.5,30.45833333,63.5,32.65217391,45.39130435
29/03/2014,39.125,51.83333333,28.75,53.08333333,,,34.125,5e-324,40.375,49.6875,30.41666667,53.54166667,30.79166667,50.08333333,32.66666667,57.95833333,,,,,38.0625,54.5,28.77083333,69.75,36.375,69.125
30/03/2014,34.20833333,37.125,26.125,43.66666667,,,28.08333333,0,37.16666667,33.4375,25.16666667,38.04166667,25.375,47.625,27.04347826,40.04545455,,,,,31.8125,37.33333333,26.97916667,49.45833333,32.82608696,32.7
31/03/2014,47.70833333,44.08333333,34.33333333,59.25,,,41.27083333,0,45.47916667,42.29166667,36.54166667,52.125,35.29166667,45.125,37.25,52.58333333,,,,,43.375,41.83333333,34.60416667,69.33333333,43.83333333,44.7
01/04/2014,39.47826087,41.58333333,38.875,53.04166667,,,35.02083333,0,43.1875,40.29166667,37.20833333,48.95833333,36.20833333,45.91666667,35,53.20833333,,,,,38.60416667,44.77272727,34.66666667,66.125,37.13043478,48.72727273
02/04/2014,46.36842105,46.16666667,45.4,48.8,,,41.58333333,0,43.72916667,42.14583333,47.89473684,59.33333333,42.125,48.5,41.79166667,59.375,,,,,41.60416667,46.43478261,45,69.16666667,47.70833333,51.5
03/04/2014,44.04166667,45.75,36.25,62.13043478,,,41.125,0,47.29166667,38.4375,33.91666667,58.375,37.70833333,52.08333333,42.29166667,60.66666667,,,,,44.5625,43.625,37.39583333,70.45833333,37.28571429,49.125
04/04/2014,55.16666667,49.625,,48,,,50.64583333,0,57.29166667,45.72916667,43.5,52.41666667,47.25,48.41666667,49.29166667,56.25,,,,,51.5625,54.65217391,42.35416667,68.33333333,51.875,65.54545455
05/04/2014,38.75,48.375,37.75,50.54166667,,,38.89583333,5e-324,44.02083333,43.60416667,35.16666667,44.79166667,37.83333333,53.16666667,41.16666667,52.33333333,,,,,43.70833333,49.08695652,37.95833333,62.625,43.375,56.04166667
06/04/2014,38.29166667,39.75,43.5,37.75,,,35.39583333,5e-324,49.25,41.64583333,39.5,39.375,37.83333333,46.54166667,37.16666667,46.25,,,,,37.5625,43.80952381,39,55.58333333,40.16666667,43.04166667
07/04/2014,35.875,39.43478261,26.54166667,41.16666667,,,33.9375,0,38.89583333,32.16666667,27.20833333,36.875,27.20833333,40.04166667,31.79166667,51.25,,,,,38.83333333,39.29166667,25.6875,51.20833333,35.875,56.91666667
08/04/2014,34.34782609,53.875,30.15,50.85,,,31.6875,0,37.79166667,49.625,27.04347826,54.20833333,30.95833333,54.25,34.20833333,58.95833333,,,,,33.79166667,57.16666667,30.66666667,73.83333333,36.33333333,66.79166667
09/04/2014,47.31578947,50.5,44.52631579,52.05263158,,,40.66666667,0,46.14583333,46.89583333,41.63157895,49.70833333,35.3,53.91304348,45.375,44.82608696,,,,,41.64583333,46.25,41.9375,61.45833333,51.125,59.70833333
10/04/2014,35.20833333,58.54166667,29.08333333,55.45833333,,,39.83333333,0,37.35416667,56.14583333,33.20833333,55.91666667,36.66666667,49.95833333,40.58333333,60.36363636,,,,,42.54166667,52.875,36,75.2173913,45.66666667,73.25
11/04/2014,46.33333333,54.66666667,32.95454545,58.33333333,,,42.41666667,0,47.25,48.54166667,33.95833333,56.95833333,39,53.52173913,39.125,60.41666667,,,,,50.22916667,54.08333333,35.4375,82.73913043,45.45833333,72.41666667
12/04/2014,49.91666667,52.58333333,,,,,47.0625,0,55.8125,46.89583333,35.79166667,54.41666667,40.79166667,58.70833333,46.83333333,75.75,,,,,56.79166667,57.375,37.6875,75.95833333,53.79166667,72.45833333
13/04/2014,51.66666667,54.70833333,22,48,,,57.70833333,5e-324,70.625,48.58333333,42.5,56.95833333,49.04166667,55.08333333,52.34782609,70.43478261,,,,,63.04166667,62.38888889,49.83333333,78.875,56.125,77
14/04/2014,45.40909091,56.8,43.6,57.90909091,,,51.27083333,5e-324,57.82608696,37.33333333,43.83333333,65,48.5,54.25,52.16666667,75.22727273,,,,,55.97826087,,45.75,74.30434783,50.875,71.2173913
15/04/2014,36,43.86956522,28.25,45.08333333,,,34.0625,0,43.57894737,36.78947368,30.47826087,43.08333333,34.45833333,38.54166667,32.65,42.40909091,,,,,38.875,,34.47916667,47.13636364,38.91666667,50.41666667
16/04/2014,34.52631579,45.04166667,25.58333333,49.83333333,,,28.08333333,0,29.66666667,46.57894737,28.10526316,53.08333333,24.5,53.54166667,27.75,55.58333333,,,,,29.60416667,,21.5,60.25,37.04166667,31.33333333
17/04/2014,32.66666667,41.16666667,31.41666667,43.875,,,34.0625,0,34.8125,38.375,30.55,36.72222222,30.75,41.125,35.91666667,46.54166667,,,,,32.91666667,,34.8125,54.45833333,37.45833333,41.91666667
18/04/2014,39.08333333,27.17391304,35.45833333,34.95833333,,,36.45833333,0,42.97916667,30.29166667,32.70833333,33.66666667,32.42857143,35.57142857,31.1,34,,,,,39.1875,,34.19565217,37.31818182,36.47368421,85.84615385
19/04/2014,40.70833333,29,35.04166667,28.83333333,,,35.5625,0,39.83333333,22.75,32.5,30.09090909,30.79166667,20.58333333,34.20833333,,,,,,35.125,,31.20833333,34.54166667,40.54166667,30
20/04/2014,37.91666667,24.83333333,34.375,35.625,,,34.75,0,38.0625,26,30.58333333,28.08333333,30.22727273,23.59090909,34.125,,,,,,37.0625,,32.41666667,32.33333333,40.08333333,30.25
21/04/2014,38.125,29.4,28.5,32.125,,,32.45833333,5e-324,37.5,24.04166667,28.91666667,36.33333333,26.33333333,31.5,29.60869565,8,,,,,34.70833333,,29.04166667,39.86363636,36.20833333,38.09090909
22/04/2014,27.85714286,25.31818182,22.54166667,33.375,,,32.14583333,5e-324,28.8125,21.83333333,24.86956522,31.83333333,28.04166667,28.91666667,29.95833333,43.73913043,,,,,31.70833333,22,26.9375,42.16666667,35.25,33
23/04/2014,36.36842105,34.54166667,24.58333333,40.33333333,,,31.3125,0,31.5625,36.22727273,31.47368421,43.63636364,27.17391304,33.52173913,29.45833333,42.33333333,,,,,30.83333333,30.83333333,25.47916667,47.54166667,35.13043478,27.75
